LATITUD,LONGITUD,ESTABLECIMIENTO,AIRELIBRE,BARRIO,TIPO,CANTIDAD
-34.655945,-58.45467,Escuela Jose Marti,NO,,Escuela/Universidad,1
-34.662321,-58.448966,Escuela Maestro Carranza,NO,Villa soldati,Escuela/Universidad,2
-34.683164,-58.461761,Escuela Nuestra Señora De Fatima,NO,,Escuela/Universidad,7
-34.65880289414751,-58.47504569182495,Escuela Reino De Thailandia,NO,Parque avellaneda,Escuela/Universidad,3
-34.561487,-58.492875,Escuela Superior De Educacion Artistica En Musica Juan Pedro Esnaola,NO,Saavedra,Escuela/Universidad,1
-34.6733628,-58.486733,Escuela Virgen Del Carmen,NO,,Escuela/Universidad,1
-34.6556353,-58.4569973,Escuela Virgen Inmaculada,NO,,Escuela/Universidad,3
-34.6280183,-58.4248525,Espacio 33,NO,,Espacio/Galería/Sala,2
-34.62864686377672,-58.35598377822312,Espacio Arte Al Paso,NO,Boca,Espacio/Galería/Sala,12
-34.63286639422076,-58.44471289327892,Espacio Cultural Adan Buenosayres,NO,Parque chacabuco,Centro Cultural,288
-34.63286639422076,-58.44471289327892,Espacio Cultural Adan Buenosayres,NO ESPECIFICA,Parque chacabuco,Centro Cultural,2
-34.582526248922356,-58.45091264009793,Espacio Cultural Carlos Gardel,NO,Chacarita,Centro Cultural,218
-34.582526248922356,-58.45091264009793,Espacio Cultural Carlos Gardel,NO ESPECIFICA,Chacarita,Centro Cultural,2
-34.6412975520066,-58.47992772490574,Espacio Cultural Chacra De Los Remedios,NO,Parque avellaneda,Centro Cultural,206
-34.6412975520066,-58.47992772490574,Espacio Cultural Chacra De Los Remedios,SI,Parque avellaneda,Centro Cultural,197
-34.6412836,-58.4821337,Espacio Cultural Chacra De Los Remedios,NO ESPECIFICA,,Centro Cultural,3
-34.633308989471146,-58.38681496154781,Espacio Cultural Del Sur,NO,Barracas,Centro Cultural,189
-34.633308989471146,-58.38681496154781,Espacio Cultural Del Sur,NO ESPECIFICA,Barracas,Centro Cultural,2
-34.633308989471146,-58.38681496154781,Espacio Cultural Del Sur,SI,Barracas,Centro Cultural,2
-34.62479184287295,-58.41133498900564,Espacio Cultural Julian Centeya,NO,San cristobal,Centro Cultural,66
-34.62479184287295,-58.41133498900564,Espacio Cultural Julian Centeya,SI,San cristobal,Centro Cultural,1
-34.62743630222944,-58.4649534419357,Espacio Cultural Marco Del Pont,NO,Flores,Centro Cultural,199
-34.62743630222944,-58.4649534419357,Espacio Cultural Marco Del Pont,NO ESPECIFICA,Flores,Centro Cultural,1
-34.60653560911959,-58.47814769368591,Espacio Cultural Resurgimiento,NO,Villa del parque,Centro Cultural,157
-34.60653560911959,-58.47814769368591,Espacio Cultural Resurgimiento,SI,Villa del parque,Centro Cultural,2
-34.5973998,-58.442421,Espacio Cultural Urbano,NO,,Centro Cultural,4
-34.582177,-58.3809015,Espacio De Lectura Mafalda,NO,,Espacio/Galería/Sala,16
-34.60903345045788,-58.38958923559434,Espacio Incaa Km 0 - Gaumont,NO,San nicolas,Espacio/Galería/Sala,5
-34.61365185735642,-58.37282141710273,Espacio Virrey Liniers,NO,Monserrat,Espacio/Galería/Sala,76
-34.61365185735642,-58.37282141710273,Espacio Virrey Liniers,NO ESPECIFICA,Monserrat,Espacio/Galería/Sala,6
-34.61365185735642,-58.37282141710273,Espacio Virrey Liniers,SI,Monserrat,Espacio/Galería/Sala,6
-34.6252996,-58.4185587,Esquina Homero Manzi,SI,,,3
-34.5460941,-58.4497852,Estadio River,NO,,,1
-34.607268673282,-58.360623953894766,Ex-cerveceria Munich,NO,Puerto madero,,18
-34.607268673282,-58.360623953894766,Ex-cerveceria Munich,NO ESPECIFICA,Puerto madero,,2
-34.607268673282,-58.360623953894766,Ex-cerveceria Munich,SI,Puerto madero,,1
-34.54718959573025,-58.44667906539981,Facultad Torcuato Ditella,NO,Belgrano,,1
-34.5842543,-58.3777723,Feria Barrial De Barrio 31,NO,,Barrio,1
-34.662554910838054,-58.50016434463208,Feria De Mataderos,NO ESPECIFICA,Mataderos,Exposición/Feria,4
-34.662554910838054,-58.50016434463208,Feria De Mataderos,SI,Mataderos,Exposición/Feria,24
-34.5802112,-58.4219318,Feria Del Libro,NO,,Exposición/Feria,27
-34.5966631,-58.3774873,Florida Y Avda. Santa Fe,SI,,,2
-34.579521550738676,-58.426017842775,Fola,NO,Palermo,,1
-34.609254423797566,-58.38329040541243,Fundacion Cassara,NO,Monserrat,Club/Fundación,2
-34.609254423797566,-58.38329040541243,Fundacion Cassara,NO ESPECIFICA,Monserrat,Club/Fundación,3
-34.60063539542112,-58.37968069141245,Fundacion Osde,NO,San nicolas,Club/Fundación,2
-34.60063539542112,-58.37968069141245,Fundacion Osde,NO ESPECIFICA,San nicolas,Club/Fundación,1
-34.639628140560255,-58.3617283711345,Fundacion Proa,NO,Boca,Club/Fundación,25
-34.639628140560255,-58.3617283711345,Fundacion Proa,NO ESPECIFICA,Boca,Club/Fundación,2
-34.592581184121144,-58.43095150229961,Galeria Acefala,NO,Palermo,Espacio/Galería/Sala,1
-34.59170932144634,-58.37929005930089,Galeria Aldo De Sousa,NO,Retiro,Espacio/Galería/Sala,1
-34.60038293080666,-58.45378492648294,Galeria Atocha,NO ESPECIFICA,Villa crespo,Espacio/Galería/Sala,1
-34.62870844477343,-58.359528513694556,Galeria Barro,NO,Boca,Espacio/Galería/Sala,1
-34.59296853521706,-58.38977092933321,Galeria Cosmocosa,NO,Recoleta,Espacio/Galería/Sala,1
-34.58920949886488,-58.4245930171386,Galeria Espacio Pla,NO,Palermo,Espacio/Galería/Sala,2
-34.60612203550871,-58.37503244689892,Galeria Guemes,NO,San nicolas,Espacio/Galería/Sala,8
